LabID,Age,Error,Material,Taxa,d13C,Method,LocAccuracy,Period,SiteID,SiteName,Country,Province,Continent,Source,Reference,subregion,agg_n,x,y,Long,Lat
A-10062,1430,80,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,N:,Dead Horse Cliffs,USA,Arizona,North America,UWyo2021,Huckleberry and Pearthree 2005,Plateau,49,-112.5538635500692,34.59987627541632,NA,NA
A-10268,1540,70,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,Z:12:5 (ASM),Ventana Cave,USA,Arizona,North America,UWyo2021,Berry and Berry 1986; Faunmap 1251,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-10295,2030,180,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,AA:,Wolcott Peak,USA,Arizona,North America,UWyo2021,Berry and Berry 1986; Haynes and Huckell 1986,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-1045,10760,100,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,EE:,Murray Springs,USA,Arizona,North America,UWyo2021,Haynes 2007b,Desert,8,-110.84669414740307,31.526102020915356,NA,NA
A-1072,1540,70,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,U:13:1 (ASM),Snaketown,USA,Arizona,North America,UWyo2021,NA,Desert,8,-112.49144893109376,33.34890328176403,NA,NA
A-1081,8975,300,BONE,apatite,NA,RADIOMETRIC,1,NA,Z:12:5 (ASM),Ventana Cave,USA,Arizona,North America,UWyo2021,NA,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-1197,1670,100,CHARCOAL,NA,-22.8,RADIOMETRIC,1,NA,U:5:58 (ASU),NA,USA,Arizona,North America,UWyo2021,Long and Muller 1981,Desert,8,-112.49144893109376,33.34890328176403,NA,NA
A-1198,1440,100,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,U:5:58 (ASU),NA,USA,Arizona,North America,UWyo2021,Long and Muller 1981,Desert,8,-112.49144893109376,33.34890328176403,NA,NA
A-1214,1600,70,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,BB:13:59,Roberts (Santa Cruz River floodplain),USA,Arizona,North America,UWyo2021,Haynes and Huckell 1986,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-1215,2030,180,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,BB:13:59,Roberts (Santa Cruz River floodplain),USA,Arizona,North America,UWyo2021,Haynes and Huckell 1986,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-1372,10250,200,SEDIMENT,humates,NA,RADIOMETRIC,1,NA,LA3324/6212,Blackwater Draw,USA,New Mexico,North America,UWyo2021,Haynes 1995,Plateau,49,-104.64697987547599,36.60621617427868,NA,NA
A-1446,970,70,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,AA:5:43 (ASM),NA,USA,Arizona,North America,UWyo2021,Schiffer and Staski 1982,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-1447,950,60,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,AA:5:43 (ASM),NA,USA,Arizona,North America,UWyo2021,Schiffer and Staski 1982,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-1627,950,50,CHARCOAL,NA,-22.04,RADIOMETRIC,1,NA,Z:11:5,NA,USA,Arizona,North America,UWyo2021,Schiffer and Staski 1982,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-1628,890,50,CHARCOAL,NA,-23.2,RADIOMETRIC,1,NA,Z:11:5,NA,USA,Arizona,North America,UWyo2021,Schiffer and Staski 1982,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-1629,920,60,CHARCOAL,NA,-22.52,RADIOMETRIC,1,NA,Z:14:30,NA,USA,Arizona,North America,UWyo2021,Schiffer and Staski 1982,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-1653,12070,210,feces; féces,NA,NA,NA,1,NA,NA,Cowboy Cave,USA,NA,North America,CARD,Meltzer and Mead 1985; Mead and Agenbroad 1992; Agenbroad and Mead 1989; Jennings 1980; Faunmap 1069,Plateau,49,-110.90384285892064,38.324485726217944,NA,NA
A-1654,13040,440,feces; féces,NA,NA,NA,1,NA,NA,Cowboy Cave,USA,NA,North America,CARD,Meltzer and Mead 1985; Mead and Agenbroad 1992; Agenbroad and Mead 1989; Jennings 1980; Faunmap 1069,Plateau,49,-110.90384285892064,38.324485726217944,NA,NA
A-1660,11020,180,mammoth feces; féces de mammouth,NA,NA,NA,1,NA,NA,Cowboy Cave,USA,NA,North America,CARD,Meltzer and Mead 1985; Agenbroad and Mead 1989; Jennings 1980; Faunmap 1069,Plateau,49,-110.90384285892064,38.324485726217944,NA,NA
A-1694,8260,100,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,K:5:19,Hastqin,USA,Arizona,North America,UWyo2021,Huckell Bruce B.  (1977)  Excavations at the Hastqin Site: A Multicomponent Preceramic Site  Near Ganado Arizona.  Report prepared by Arizona State Museum in  cooperation with  the Arizona Department of Transportation.  MS on  file at Arizona State Museum Library University of Arizona  Tucson.,Plateau,49,-109.48903635750371,35.39566460066254,NA,NA
A-1698,13500,390,OTHER,juniperus,-22.9,RADIOMETRIC,1,NA,Z:,Montezuma Head,USA,Arizona,North America,UWyo2021,Berry and Berry 1986,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-1756,8000,120,CHARCOAL,ponderosa pine,NA,RADIOMETRIC,1,NA,K:5:19,Hastqin,USA,Arizona,North America,UWyo2021,Huckell Bruce B.  (1977)  Excavations at the Hastqin Site: A Multicomponent Preceramic Site  Near Ganado Arizona.  Report prepared by Arizona State Museum in  cooperation with  the Arizona Department of Transportation.  MS on  file at Arizona State Museum Library University of Arizona  Tucson.,Plateau,49,-109.48903635750371,35.39566460066254,NA,NA
A-1757,1000,40,CHARCOAL,NA,-23.8,RADIOMETRIC,1,NA,DD:8:129,NA,USA,Arizona,North America,UWyo2021,Ravesloot 1987 Archaeology of San Xavier Bridge Site (BB:13:14)…,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-1758,230,50,CHARCOAL,NA,-24.9,RADIOMETRIC,1,NA,DD:8:129,NA,USA,Arizona,North America,UWyo2021,Ravesloot 1987 Archaeology of San Xavier Bridge Site (BB:13:14)…,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-1800,12320,160,feces; féces,NA,NA,NA,1,NA,NA,Cowboy Cave,USA,NA,North America,CARD,Meltzer and Mead 1985; Mead and Agenbroad 1992; Agenbroad and Mead 1989; Jennings 1980; Faunmap 1069,Plateau,49,-110.90384285892064,38.324485726217944,NA,NA
A-1819,970,70,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,Z:16:13 (ASM),Gu Achi,USA,Arizona,North America,UWyo2021,Schiffer and Staski 1982,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-1853,4400,220,OTHER,residue,NA,RADIOMETRIC,1,NA,BB:13:11 (ASM),Joe Ben site Santa Cruz River Brickyard Arroyo,USA,Arizona,North America,UWyo2021,Freeman 1997,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-1857,2520,140,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,BB:,Santa Cruz river,USA,Arizona,North America,UWyo2021,Ravesloot 1987 Archaeology of the San Xavier Bridge Site (BB:13:14)…,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-1883,2030,230,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,BB:,Santa Cruz river,USA,Arizona,North America,UWyo2021,Ravesloot 1987 Archaeology of the San Xavier Bridge Site (BB:13:14)…,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-188C,8270,250,UNKNOWN,Charcoalà,NA,RADIOMETRIC,1,NA,FF:10:1 (ASM),Double Adobe,USA,Arizona,North America,UWyo2021,Waters 1985,Desert,8,-109.75159583281211,31.879671979781904,NA,NA
A-195,8980,270,BONE,Mammoth,NA,RADIOMETRIC,1,NA,FF:9:1,Naco,USA,Arizona,North America,UWyo2021,Haury 1953; Haynes et al. 1967: 7; Meltzer and Mead 1985,Desert,8,-109.75159583281211,31.879671979781904,NA,NA
A-203,11300,1200,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,Z:12:5 (ASM),Ventana Cave,USA,Arizona,North America,UWyo2021,Damon and Long 1962: 246; Haury 1950; Huckell and Haynes 2003; Lundelius et al. 1983: Site 136; Meltzer and Mead 1985; Willig and Aikens 1988: 8; Faunmap 1145,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-2202,2120,140,CHARCOAL,NA,-20.9,RADIOMETRIC,1,NA,Q:7:22 (ASM),NA,USA,Arizona,North America,UWyo2021,Westfall 1981,Plateau,49,-109.48903635750371,35.39566460066254,NA,NA
A-2203,4770,200,CHARCOAL,NA,-21.8,RADIOMETRIC,1,NA,Q:7:35,NA,USA,Arizona,North America,UWyo2021,Westfall 1981,Plateau,49,-109.48903635750371,35.39566460066254,NA,NA
A-2204,693,31,WOOD,White fir,NA,RADIOMETRIC,1,NA,AA:,Casa Grande,USA,Arizona,North America,UWyo2021,Long et al. 1987-Construction of the Casa Grande by Sequential High Precision C-14 Dating,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-2205,684,19,WOOD,White fir,NA,RADIOMETRIC,1,NA,AA:,Casa Grande,USA,Arizona,North America,UWyo2021,Long et al. 1987-Construction of the Casa Grande by Sequential High Precision C-14 Dating,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-2206,634,26,WOOD,White fir,NA,RADIOMETRIC,1,NA,AA:,Casa Grande,USA,Arizona,North America,UWyo2021,Long et al. 1987-Construction of the Casa Grande by Sequential High Precision C-14 Dating,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-2207,674,19,WOOD,White fir,NA,RADIOMETRIC,1,NA,AA:,Casa Grande,USA,Arizona,North America,UWyo2021,Long et al. 1987-Construction of the Casa Grande by Sequential High Precision C-14 Dating,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-2208,630,19,WOOD,White fir,NA,RADIOMETRIC,1,NA,AA:,Casa Grande,USA,Arizona,North America,UWyo2021,Long et al. 1987-Construction of the Casa Grande by Sequential High Precision C-14 Dating,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-2216,1650,80,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,BB:,Santa Cruz River San Xavier gravel pit,USA,Arizona,North America,UWyo2021,Haynes and Huckell 1986,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-2217,2330,180,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,BB:,Santa Cruz river,USA,Arizona,North America,UWyo2021,Ravesloot 1987 Archaeology of the San Xavier Bridge Site (BB:13:14)…,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-2234,4260,140,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,AA:12:111 (ASM),Las Capas Santa Cruz river Ina Road landfill,USA,Arizona,North America,UWyo2021,NA,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-2235,9120,270,UNKNOWN,Charcoalà,NA,RADIOMETRIC,1,NA,FF:10:1 (ASM),Double Adobe,USA,Arizona,North America,UWyo2021,Waters 1985,Desert,8,-109.75159583281211,31.879671979781904,NA,NA
A-2237,2820,280,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,AA:12:111 (ASM),Las Capas Santa Cruz river Ina Road landfill,USA,Arizona,North America,UWyo2021,Haynes and Huckell 1986,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-2387,725,21,WOOD,Juniper,NA,RADIOMETRIC,1,NA,AA:,Casa Grande,USA,Arizona,North America,UWyo2021,Long et al. 1987-Construction of the Casa Grande by Sequential High Precision C-14 Dating,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-2388,725,19,WOOD,Juniper,NA,RADIOMETRIC,1,NA,AA:,Casa Grande,USA,Arizona,North America,UWyo2021,Long et al. 1987-Construction of the Casa Grande by Sequential High Precision C-14 Dating,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-2389,743,17,WOOD,Juniper,NA,RADIOMETRIC,1,NA,AA:,Casa Grande,USA,Arizona,North America,UWyo2021,Long et al. 1987-Construction of the Casa Grande by Sequential High Precision C-14 Dating,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-2390,772,55,WOOD,Juniper,NA,RADIOMETRIC,1,NA,AA:,Casa Grande,USA,Arizona,North America,UWyo2021,Long et al. 1987-Construction of the Casa Grande by Sequential High Precision C-14 Dating,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-2451,2970,100,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,AA:12:111 (ASM),Santa Cruz river Ina Road landfill,USA,Arizona,North America,UWyo2021,Haynes and Huckell 1986,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-2452,2720,210,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,AA:12:111 (ASM),Santa Cruz river Ina Road landfill,USA,Arizona,North America,UWyo2021,Haynes and Huckell 1986,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-2454,1820,90,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,BB:,Santa Cruz river San Xavier gravel pit,USA,Arizona,North America,UWyo2021,Haynes and Huckell 1986,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-2464,1430,24,SEEDS,Zea mays cob with kernels,NA,RADIOMETRIC,1,NA,E:8:1 (ASM),Broken Flute Cave,USA,Arizona,North America,UWyo2021,CREEL AND LONG 1986,Plateau,49,-109.48903635750371,35.39566460066254,NA,NA
A-2466,160,100,CHARCOAL,NA,-25.2,RADIOMETRIC,1,NA,AA:12:131,NA,USA,Arizona,North America,UWyo2021,Ravesloot 1987 Archaeology of San Xavier Bridge Site (BB:13:14)…,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-2469,1400,20,SEEDS,Zea mays,NA,RADIOMETRIC,1,NA,U:13:1 (ASM),Snaketown,USA,Arizona,North America,UWyo2021,Cable and Doyel 1987,Desert,8,-112.49144893109376,33.34890328176403,NA,NA
A-274-1,1430,110,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,U:13:1 (ASM),Snaketown,USA,Arizona,North America,UWyo2021,Gumerman 1991,Desert,8,-112.49144893109376,33.34890328176403,NA,NA
A-2746,600,80,WOOD,NA,NA,RADIOMETRIC,1,NA,AA:12:57 (ASM),Los Morteros,USA,Arizona,North America,UWyo2021,Gumerman 1991,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-2747,2110,90,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,AA:16:6 (ASM),Tumamoc Hill,USA,Arizona,North America,UWyo2021,Roth 1989,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-2789,1470,40,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,LA4935,Bat Cave,USA,New Mexico,North America,UWyo2021,Wills Wirt H.  (1988)    Early Prehistoric Agriculture in the American Southwest.  School of  American Research Press Santa Fe New Mexico.,Plateau,49,-108.40487735538251,33.91542192896276,NA,NA
A-2791,2430,420,SEEDS,Zea mays cob,NA,RADIOMETRIC,1,NA,LA4935,Bat Cave,USA,New Mexico,North America,UWyo2021,Ancient Maize Database,Plateau,49,-108.40487735538251,33.91542192896276,NA,NA
A-2799,840,80,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,LA4935,Bat Cave,USA,New Mexico,North America,UWyo2021,Wills Wirt H.  (1988)    Early Prehistoric Agriculture in the American Southwest.  School of  American Research Press Santa Fe New Mexico.,Plateau,49,-108.40487735538251,33.91542192896276,NA,NA
A-2811,440,240,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,AA:,Santa Cruz river Tortolita Mts,USA,Arizona,North America,UWyo2021,Haynes and Huckell 1986,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-284,604,60,SEEDS,Panic grass,NA,RADIOMETRIC,1,NA,R:,Natural Cave,USA,Arizona,North America,UWyo2021,Schiffer and Staski 1982,Desert,8,-113.98136495057372,33.72930423589133,NA,NA
A-2931,4690,100,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,EE:2:103,Split Ridge,USA,Arizona,North America,UWyo2021,Huckell 1984,Desert,8,-110.84669414740307,31.526102020915356,NA,NA
A-2964,4350,90,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,AA:3:8 (ASU),Gate Site Group,USA,Arizona,North America,UWyo2021,Bayham et al 1986,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-2965,4350,90,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,AA:3:37 (ASM),NA,USA,Arizona,North America,UWyo2021,Czaplicki 1994 A Class III Survey of the Tucson Aqueduct Phase A Corridor Central Arizona Project,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-3035,3330,140,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,AA:3:43 (ASM),Arical Dune Group,USA,Arizona,North America,UWyo2021,Bayham et al 1986,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-3103,1990,370,CHARCOAL,NA,NA,AMS,1,NA,EE:2:62,Wasp Canyon,USA,Arizona,North America,UWyo2021,Huckell 1984,Desert,8,-110.84669414740307,31.526102020915356,NA,NA
A-3104,3730,110,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,AA:,Santa Cruz river Ina Road landfill,USA,Arizona,North America,UWyo2021,Haynes and Huckell 1986,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-3141,1400,220,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,AA:,Santa Cruz river Ina Road landfill,USA,Arizona,North America,UWyo2021,Haynes and Huckell 1986,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-3145,3260,100,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,AA:12:130 (ASM),Santa Cruz river Ina Road landfill,USA,Arizona,North America,UWyo2021,Haynes and Huckell 1986,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-3147,3240,50,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,AA:12:130 (ASM),Santa Cruz river Ina Road landfill,USA,Arizona,North America,UWyo2021,Haynes and Huckell 1986,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-3152,490,110,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,NA-16929,Limestone House,USA,Arizona,North America,UWyo2021,Ciolek-Torrello 1984 Archaeology of the Mazatzal Piedmont,Plateau,49,-111.77064041374653,35.8387944611213,NA,NA
A-3159,2130,280,SEEDS,C. pepo seed,NA,RADIOMETRIC,1,NA,LA40178,Sheep Camp Shelter (29SJ178),USA,New Mexico,North America,UWyo2021,Simmons Alan H.  (1984)  Archaic Prehistory and Paleoenvironments in the San Juan Basin New Mexico: The Chaco Shelters Project.  University of Kansas Museum of Anthropology Project Report Series No. 53 Lawrence Kansas.,Plateau,49,-108.32096386954146,36.50860350470959,NA,NA
A-3182,1430,250,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,FF:10:16 (ASM),Whitewater Draw various localities,USA,Arizona,North America,UWyo2021,Waters 1986,Desert,8,-109.75159583281211,31.879671979781904,NA,NA
A-3195,2220,290,SEEDS,C. pepo,NA,RADIOMETRIC,1,NA,LA40178,Sheep Camp Shelter (29SJ178),USA,New Mexico,North America,UWyo2021,SIMMONS 1986,Plateau,49,-108.32096386954146,36.50860350470959,NA,NA
A-3212,11670,300,mammoth feces; féces de mammouth,NA,NA,NA,1,NA,NA,Bechan Cave,USA,NA,North America,CARD,Mead and Agenbroad 1992; Davis et al. 1984 1985; Faunmap 1055,Plateau,49,-111.88792356707897,37.28524786798782,NA,NA
A-3213,12900,160,mammoth feces; féces de mammouth,NA,NA,NA,1,NA,NA,Bechan Cave,USA,NA,North America,CARD,Mead and Agenbroad 1992; Faunmap 1055; Davis et al. 1984,Plateau,49,-111.88792356707897,37.28524786798782,NA,NA
A-3232,8650,180,UNKNOWN,Charcoalà,NA,RADIOMETRIC,1,NA,FF:6:9 (ASM),Whitewater Draw various localities,USA,Arizona,North America,UWyo2021,Waters 1985,Desert,8,-109.75159583281211,31.879671979781904,NA,NA
A-3233,8390,190,UNKNOWN,Charcoalà,NA,RADIOMETRIC,1,NA,FF:6:9 (ASM),Whitewater Draw various localities,USA,Arizona,North America,UWyo2021,Waters 1985,Desert,8,-109.75159583281211,31.879671979781904,NA,NA
A-3238,9340,180,UNKNOWN,Charcoalà,NA,RADIOMETRIC,1,NA,FF:6:8 (ASM),Whitewater Draw various localities,USA,Arizona,North America,UWyo2021,Waters 1985,Desert,8,-109.75159583281211,31.879671979781904,NA,NA
A-3239,710,50,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,FF:6:8 (ASM),Whitewater Draw various localities,USA,Arizona,North America,UWyo2021,Waters 1986,Desert,8,-109.75159583281211,31.879671979781904,NA,NA
A-3277,8140,220,UNKNOWN,Charcoalà,NA,RADIOMETRIC,1,NA,FF:6:8 (ASM),Whitewater Draw various localities,USA,Arizona,North America,UWyo2021,Waters 1985,Desert,8,-109.75159583281211,31.879671979781904,NA,NA
A-3296,11850,160,mammoth feces; féces de mammouth,NA,NA,NA,1,NA,NA,Bechan Cave,USA,NA,North America,CARD,Mead and Agenbroad 1992; Faunmap 1055; Davis et al. 1984,Plateau,49,-111.88792356707897,37.28524786798782,NA,NA
A-3297,12400,250,feces; féces,NA,NA,NA,1,NA,NA,Bechan Cave,USA,NA,North America,CARD,Mead and Agenbroad 1992; Faunmap 1055; Davis et al. 1984,Plateau,49,-111.88792356707897,37.28524786798782,NA,NA
A-3298,12620,220,mammoth feces; féces de mammouth,NA,NA,NA,1,NA,NA,Bechan Cave,USA,NA,North America,CARD,Mead and Agenbroad 1992; Faunmap 1055; Davis et al. 1984,Plateau,49,-111.88792356707897,37.28524786798782,NA,NA
A-3313 (3513à),5500,80,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,42KA2546,Bechan Cave,USA,Utah,North America,UWyo2021,Agenbroad et al 1990 Glen Canyon Quat Studies,Plateau,49,-111.88792356707897,37.28524786798782,NA,NA
A-3359,2410,356,UNKNOWN,NA,NA,NA,1,NA,LA6164,Jemez Cave,USA,New Mexico,North America,UWyo2021,Jemes Cave,Plateau,49,-106.86624110179444,35.688728042728876,NA,NA
A-3377,8840,310,UNKNOWN,Charcoalà,NA,RADIOMETRIC,1,NA,FF:10:1 (ASM),Double Adobe,USA,Arizona,North America,UWyo2021,Waters 1985,Desert,8,-109.75159583281211,31.879671979781904,NA,NA
A-3379,8760,210,UNKNOWN,Charcoalà,NA,RADIOMETRIC,1,NA,FF:10:1 (ASM),Double Adobe,USA,Arizona,North America,UWyo2021,Waters 1985,Desert,8,-109.75159583281211,31.879671979781904,NA,NA
A-3388,2900,230,SEEDS,C. pepo seed,NA,RADIOMETRIC,1,NA,LA40178,Sheep Camp Shelter (29SJ178),USA,New Mexico,North America,UWyo2021,Simmons Alan H.  (1984)  Archaic Prehistory and Paleoenvironments in the San Juan Basin New Mexico: The Chaco Shelters Project.  University of Kansas Museum of Anthropology Project Report Series No. 53 Lawrence Kansas.,Plateau,49,-108.32096386954146,36.50860350470959,NA,NA
A-3395,2170,180,SEEDS,Zea mays,NA,AMS,1,NA,LA40178,Sheep Camp Shelter (29SJ178),USA,New Mexico,North America,UWyo2021,Ancient Maize Database,Plateau,49,-108.32096386954146,36.50860350470959,NA,NA
A-3396,2290,210,SEEDS,Zea mays pollen,NA,AMS,1,NA,LA40178,Sheep Camp Shelter (29SJ178),USA,New Mexico,North America,UWyo2021,Ancient Maize Database,Plateau,49,-108.32096386954146,36.50860350470959,NA,NA
A-34,7205,450,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,EE:12:1,Lehner Ranch,USA,Arizona,North America,UWyo2021,Haury et al 1959,Desert,8,-110.84669414740307,31.526102020915356,NA,NA
A-3500,2170,170,SEEDS,zea mays cupule charred,NA,AMS,1,NA,EE:2:137 (ASM),Los Ojitos,USA,Arizona,North America,UWyo2021,HUCKELL 1995,Desert,8,-110.84669414740307,31.526102020915356,NA,NA
A-3501,2270,200,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,EE:2:137 (ASM),Los Ojitos,USA,Arizona,North America,UWyo2021,HUCKELL 1995,Desert,8,-110.84669414740307,31.526102020915356,NA,NA
A-3510,1190,110,SEEDS,Zea mays cob charred,NA,RADIOMETRIC,1,NA,A:3:1 ASM (NA-5507),Antelope Cave,USA,Arizona,North America,UWyo2021,Janetski et al. 2013:24,Plateau,49,-113.75791449550778,35.70416471617003,NA,NA
A-3511,1160,100,TEXTILE,Cob/Sandal Fragment,NA,RADIOMETRIC,1,NA,A:3:1 ASM (NA-5507),Antelope Cave,USA,Arizona,North America,UWyo2021,Yoder 2013:120,Plateau,49,-113.75791449550778,35.70416471617003,NA,NA
A-3513,5500,80,CHARCOAL,NA,-25,RADIOMETRIC,1,NA,42KA2546,Bechan Cave,USA,Utah,North America,UWyo2021,Geib Phil R.  (1996)    Archaic Occupancy of the Glen Canyon Region.   In Glen Canyon Revisited edited by Phil R. Geib Anthropological Papers No. 119 University of Utah Press Salt Lake City.,Plateau,49,-111.88792356707897,37.28524786798782,NA,NA
A-3514,16700,250,plant remains; restes de plantes,NA,NA,NA,1,NA,NA,Bechan Cave,USA,NA,North America,CARD,Mead and Agenbroad 1992; Davis et al. 1985,Plateau,49,-111.88792356707897,37.28524786798782,NA,NA
A-3516,2640,50,CHARCOAL,NA,-25,RADIOMETRIC,1,NA,42KA2546,Bechan Cave,USA,Utah,North America,UWyo2021,Geib Phil R.  (1996)    Archaic Occupancy of the Glen Canyon Region.   In Glen Canyon Revisited edited by Phil R. Geib Anthropological Papers No. 119 University of Utah Press Salt Lake City.,Plateau,49,-111.88792356707897,37.28524786798782,NA,NA
A-3522,480,50,WOOD,NA,NA,RADIOMETRIC,1,NA,U:10:6 (ASM),Siphon Draw,USA,Arizona,North America,UWyo2021,Gumerman 1991,Desert,8,-112.49144893109376,33.34890328176403,NA,NA
A-3526,430,60,SEEDS,cotton,NA,RADIOMETRIC,1,NA,U:15:19 (ASM)/U:15:23 (MNA)/NA-15656,Las Fosas,USA,Arizona,North America,UWyo2021,Gumerman 1991,Desert,8,-112.49144893109376,33.34890328176403,NA,NA
A-3527,680,110,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,U:15:19 (ASM)/U:15:23 (MNA)/NA-15656,Las Fosas,USA,Arizona,North America,UWyo2021,Gumerman 1991,Desert,8,-112.49144893109376,33.34890328176403,NA,NA
A-3528,370,60,WOOD,NA,NA,RADIOMETRIC,1,NA,U:15:19 (ASM)/U:15:23 (MNA)/NA-15656,Las Fosas,USA,Arizona,North America,UWyo2021,Gumerman 1991,Desert,8,-112.49144893109376,33.34890328176403,NA,NA
A-3529,390,70,WOOD,NA,NA,RADIOMETRIC,1,NA,U:15:59 (ASM),El Polvoron,USA,Arizona,North America,UWyo2021,Gumerman 1991,Desert,8,-112.49144893109376,33.34890328176403,NA,NA
A-3559,1070,70,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,EE:2:76,NA,USA,Arizona,North America,UWyo2021,Gumerman 1991,Desert,8,-110.84669414740307,31.526102020915356,NA,NA
A-3560,1360,60,WOOD,NA,NA,RADIOMETRIC,1,NA,EE:2:76,NA,USA,Arizona,North America,UWyo2021,Gumerman 1991,Desert,8,-110.84669414740307,31.526102020915356,NA,NA
A-3561,870,50,WOOD,NA,NA,RADIOMETRIC,1,NA,EE:2:106 (ASM),NA,USA,Arizona,North America,UWyo2021,Gumerman 1991,Desert,8,-110.84669414740307,31.526102020915356,NA,NA
A-3562,1070,50,CHARCOAL,juniper,NA,RADIOMETRIC,1,NA,EE:2:105,Rosemont Ballcourt,USA,Arizona,North America,UWyo2021,Gumerman 1991,Desert,8,-110.84669414740307,31.526102020915356,NA,NA
