Site,County,State,BP,Nuts,EAC,IP,Source
Determann Borrow,Madison,IL,787,10,2,0,Johannessen 1984g:27
Dogtooth Bend,Alexander,IL,600,114,10,9,Newsom 1996:148-150
Dohack ,St. Clair,IL,1084,4255,35822,194,Johannessen 1985d:260-3
Dohack ,St. Clair,IL,1250,5396,852,0,Johannessen 1985d:254
Dohack ,St. Clair,IL,1625,227,37,0,Johannessen 1985d:251
Dugan Airfield,Monroe,IL,1250,8754,8011,134,Parker 2006a:432-433
Dyroff ,St. Clair,IL,2850,973,6,0,Johannessen 1984a:300
Fall Creek,Adams,IL,1410,23,30,0,Asch DL and Asch NB 1986:107-109
Fingers ,St. Clair,IL,825,74,148,346,Parker 1995a:55-6
Fish Lake,Monroe,IL,1250,704,566,0,Johannessen 1984b:191
Frog City,Alexander,IL,1922,72,14,0,Asch and Asch 1978:128-130
Go-Kart North,Monroe,IL,4100,7316,5,0,Johannessen 1984c:173
Grand Village,LaSalle,IL,335,2,0,729,Walz 1999:223-225
Hawkins Hollow,Monroe,IL,662,531,11,162,"Simon 2015:186-187, 204-205"
Hill Creek,Pike,IL,662,14411,1571,6124,"Asch and Asch 1985a:140, 166-167"
Holdener ,St. Clair,IL,1250,5087,319,0,Simon 1994:89
Hoxie Farm,Cook,IL,500,272,15,430,Blewitt & King 2017:500-505
Hoxie Farm,Cook,IL,575,816,39,1677,Blewitt & King 2017:500-505
Joan Carrie,Monroe,IL,1084,186,3430,1724,Esarey & Johannessen 1994:81-2
Julien ,St. Clair,IL,662,5289,338,609,Johannessen 1984f:270-1
Julien ,St. Clair,IL,750,5329,305,673,Johannessen 1984f:268-9
Julien ,St. Clair,IL,825,81,439,5641,Johannessen 1984f:266-7
Julien ,St. Clair,IL,1250,401,66,0,Johannessen 1984f:246
Kane Village,Madison,IL,1050,751,1861,957,Simon 2016:79
Karol Rekas,Madison,IL,825,202,10,330,Parker 1990:493
Keeshin Farm,Winnebago,IL,776,2556,7,2202,Simon 1999b:161-169
Knoebel ,St. Clair,IL,925,59,4,100,Kruchten 2012:118
Lohmann ,St. Clair,IL,875,681,3041,3469,Johannessen 1992:141-142
Marcus ,St. Clair,IL,991,0,3,35,Johannessen 1987c:352
McLean ,St. Clair,IL,4650,17355,77,0,Johannessen 1986:90-93
Meridian Hills,Madison,IL,1950,12132,5346,0,"Parker 2005a:106, 118-119"
Meyer ,St. Clair,IL,2850,8,1,0,Fortier et al. 1998:219
"Modoc, 7E",Randolph,IL,4650,821,13,0,King 1992:83-84
"Modoc, 9E",Randolph,IL,4100,3660,35,0,King 1992:83-84
MoPac2 ,St. Clair,IL,2850,2699,15,0,"Johannessen 1983c:199, 201, 209"
Mound House,Greene,IL,1930,184,108,0,"Schroeder 1998:181-2, 186-187"
Mund ,St. Clair,IL,1475,4376,6225,3,Johannessen 1983d:304-5
Mund ,St. Clair,IL,2050,2757,102,0,Johannessen 1983b:96
Napoleon Hollow,Pike,IL,1890,2092,66,0,"Asch NB and Asch DL 1986:478, 482-483"
New Massilon,Wayne,IL,800,177,60,48,"Lopinot 1987:92, 96"
Oak Forest,Cook,IL,387,246,346,634,"Asch and Asch Sidell 1990:251, 253, 255"
Old Edwardsville,Madison,IL,750,16203,776,728,Simon 2003b:346-347
Olszewski ,St. Clair,IL,825,43,21,152,Dunavan 1990b:392-4
Olszewski ,St. Clair,IL,925,131,929,2039,Dunavan 1990b:392-4
Range ,St. Clair,IL,425,483,302,602,Parker 2003b:410-411
Range ,St. Clair,IL,825,2365,937,15203,"Parker 2003c:330, 335"
Range ,St. Clair,IL,925,1546,3461,1437,Parker 2003a:194-195
Range ,St. Clair,IL,991,251,3460,9657,Parker 2007b:459-461
Range ,St. Clair,IL,1022,427,393,410,Parker 2007a:217
Range ,St. Clair,IL,1053,386,1832,1638,Whalley 1990b:520
Range ,St. Clair,IL,1084,976,447,714,Whalley 1990a:276-7
Range ,St. Clair,IL,1250,1277,1746,2,"Johannessen 1987b:409, 411, 413"
Range ,St. Clair,IL,2850,77,2,0,Johannessen 1987a:103
Robert Schneider,Madison,IL,825,11,23,2195,Johannessen 1985b:260
Robert Schneider,Madison,IL,1053,5,2879,368,Johannessen 1985a:286
Robinsons Lake,Madison,IL,1022,10,557,697,Johannessen 1984d:126-127
Rogers Lake,Pike,IL,2100,1222,10,0,"Schroeder 1997:128, 167-171"
Russell Koster,Whiteside,IL,655,85,0,188,Pearce 2006:115
Sand Trees,Pike,IL,2100,385,6,0,"Schroeder 1997:128, 161-165"
Skinned Rabbit,Madison,IL,1775,104,791,0,Lopinot 1989:107
Smiling Dan,Scott,IL,1150,134,360,1,"Schroeder 1994:115, 117, 184-8"
Smiling Dan,Scott,IL,1850,29532,12890,0,"Asch DL and Asch NB 1985b:350, 357"
Spoon Toe,Morgan,IL,1900,3315,347,0,"Calentine 2005:55, 64"
St Thomas,Madison,IL,750,129,84,18,Kruchten 2008:196
Steinberg ,St. Clair,IL,1625,725,2269,0,Johannessen and Whalley 1988:271
Swimming Snake,Alexander,IL,1050,6333,73,47,Schroeder 1992:36-37
Tree Row,Fulton,IL,900,10,2,9,Kuehn and Blewitt 83.9138888888889
Truck 4,Monroe,IL,925,44,1,1,Johannessen 1985e:305
Truck 7,Monroe,IL,1775,951,318,0,Johannessen 1985e:294-297
Turner ,St. Clair,IL,750,21,28,22,"Whalley 1983:216-217, 225-227"
Turner ,St. Clair,IL,825,402,286,34931,"Whalley 1983:216-217, 225-227"
Turner ,St. Clair,IL,925,44,466,434,"Whalley 1983:216-217, 225-227"
Vaughn Branch,Madison,IL,825,1003,1278,23591,Simon 2003a:177-178
Wet Willie,Adams,IL,1530,1491,897,0,Asch DL and Asch NB 1986:107-109
Wilderman ,St. Clair,IL,1250,1331,19,0,Simon 82.8972222222222
Woodland Ridge,Monroe,IL,1300,12965,35363,1,"Parker 2002:150-151, 157"
Alpha 1,St. Clair,IL,1625,284,8392,0,Johannessen and Whalley 1988:273
Alpha 3,St. Clair,IL,1250,380,9,0,Johannessen and Whaley 82.8333333333333 281
Brush College School,Pike,IL,4075,191,1,0,Schroeder 1994:170
"Cahokia, ICT-II",St. Clair,IL,750,590,615,447,"Lopinot 1991:144, 147"
"Cahokia, ICT-II",St. Clair,IL,787,4,25,19,"Lopinot 1991:159, 162"
"Cahokia, ICT-II",St. Clair,IL,825,421,1539,1347,"Lopinot 1991:96, 99, 122, 125, 159, 161"
"Cahokia, ICT-II",St. Clair,IL,875,27,45,69,Lopinot 1991:159-60
"Cahokia, ICT-II",St. Clair,IL,925,97,745,455,"Lopinot 1991:70, 73"
Charles Keeshin 3,Winnebago,IL,1100,29,55,1058,Simon 1999a:168
Christy Schwaegel,St. Clair,IL,825,90,226,271,Pauketat et al. 2012:173-4
Columbia Quarry,St. Clair,IL,1475,594,147,0,Johannessen and Whalley 1988:277
Cramer 2,St. Clair,IL,1250,2850,1,0,Johannessen and Whalley 1988:283
Curtiss Steinberg,St. Clair,IL,825,19,0,6,Parker 1995b:89
Florence Street,St. Clair,IL,2400,387,13,0,"Johannessen 1983a:137, 142"
Formal Garden,Rock Island,IL,1559,16693,3297,0,Wolforth et al. 2000:82
George Reeves,St. Clair,IL,925,332,62,44,Johannessen 1987d:351-352
George Reeves,St. Clair,IL,991,51,409,83,Johannessen 1987d:351-352
George Reeves,St. Clair,IL,1022,68,654,426,Johannessen 1987d:351-352
George Reeves,St. Clair,IL,1084,19,27,1,Johannessen 1987d:351-352
George Reeves,St. Clair,IL,1475,139,116,0,Johannessen 1987d:351-352
George Reeves,St. Clair,IL,1625,618,1239,0,Johannessen 1987d:351-352
M Adams 1,Winnebago,IL,1100,103,3,29,Simon 1999a:179
Petite Michele,St. Clair,IL,2050,158,188,0,Parker 2004:159
Dickson Camp & Pond,Fulton,IL,2150,1941,12,0,Asch and Asch 1980:153
East St. Louis,St. Clair,IL,750,4,17,9,Kelly et al. 2005b:306
East St. Louis,St. Clair,IL,800,19,117,14069,Simon 2007:863
East St. Louis,St. Clair,IL,825,9,83,5711,"Parker 2005b:273, 278"
East St. Louis,St. Clair,IL,925,311,428,598,Kelly et al. 2005a:94-95
John Faust 1,St. Clair,IL,750,16753,9,395,Parker and Scott 2003-4:78-79
John Faust 1,St. Clair,IL,825,6666,137,1878,Parker and Scott 2003-4:78-79
John Faust 1,St. Clair,IL,1225,4153,336,1139,Parker and Scott 2003-4:78-79
John Faust 1,St. Clair,IL,1325,84451,4405,19,Parker and Scott 2003-4:78-79
John Faust 2,St. Clair,IL,825,3809,35,7,Parker and Scott 2003-4:69-70
John Faust 2,St. Clair,IL,1225,6039,668,99,Parker and Scott 2003-4:69-70
John Faust 2,St. Clair,IL,1325,128600,7021,214,Parker and Scott 2003-4:69-70
Sandy Ridge Farm,St. Clair,IL,825,5,10,730,Johannessen 1990:244
"Cahokia, west",St. Clair & Madison,IL,787,3,148,39,"Lopinot et al. 1993:416, 418"
"Cahokia, west",St. Clair & Madison,IL,825,287,1923,453,"Lopinot et al. 1993:416, 418"
"Cahokia, west",St. Clair & Madison,IL,925,5,46,17,"Lopinot et al. 1993:416, 418"
